Regular,Zac,Combatant,56,Male,334477,zac@gmail.com
Regular,Wukong,Shimone,54,Male,116688,wukong@gmail.com
Regular,Issac,Newton,99,Male,6666,law@newton.com
Regular,Ponhvath,Vann,19,Male,213360633,vannb01@myunitec.ac.nz
Regular,Annie ,Hastur,9,Female,211234,annie@gmail.com
Regular,Fiora,Laurent,32,Female,21223344,fiora@gmail.com
Regular,Shieda,Kayn,34,Male,667788,kayn@gmail.com
Regular,Taliyah,Nasaaj,5,Male,9999,nasaaj@gmai.com
Silver,Viki,Lau,21,Female,215560655,viki01@akl.ac.nz
Silver,Cristiano,Ronaldo,34,Male,22222,ronaldo@juventus.com
Silver,Camille,Ferros,23,Female,21334455,camille@gmail.com
Silver,Graves,Malcom,36,Male,54,graves@gmail.com
Silver,Lee,Sin,57,Male,556677,lee@gmail.com
Silver,Olaf,Lokfar,56,Male,665522,olaf@gmail.com
Silver,Bill,Gate,68,Male,1111,gate@gmail.com
Silver,Benjamin,Franklin,56,Male,3333,franklin@gmail.com
Gold,Elise,Zavan,56,Female,1122,elise@yahoo.com
Gold,Aaron,Mueller,20,Male,642278565,flunkiman@googlrmail.com
Gold,John,Morris,55,Male,446699,morris@gmail.com
Gold,Jack,Maa,64,Male,7777,ma@alibaba.com
Gold,Elon,Musk,54,Male,5555,musk@spacex.com
Gold,Robbie,De castro,45,Male,445566,robbie@gmail.com
Gold,Hannah,Rooney,25,Female,214460644,hannah01@myunitec.ac.nz
Gold,Janna,Windforce,34,Female,112233,janna@gmai.com
